电影,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
侏罗纪世界,0,0,0,0,0,0,0,0,0,2186.8,0,0,0,0,0,0,0,0,1671.7,1671.7,1671.7
侏罗纪公园2：失落的世界,618.6,618.6,618.6,618.6,0,0,0,0,0,1119.9,0,0,0,0,0,0,0,0,0,0,0
侏罗纪公园,1029.2,1029.2,1029.2,1029.2,1029.2,1029.2,1029.2,1029.2,1029.2,1066.2,1029.2,1029.2,1029.2,1029.2,1029.2,0,0,0,0,0,0
指环王3：王者无敌?,0,0,0,0,0,0,0,0,0,1029.2,0,0,0,0,1119.9,0,0,0,0,0,0
指环王3：王者无敌,0,0,0,0,0,0,1119.9,1119.9,1119.9,1027,1119.9,1119.9,1119.9,1119.9,0,1119.9,1119.9,1119.9,0,0,0
指环王2：双塔奇兵,0,0,0,0,0,926,926,926,926,974.8,0,0,0,0,0,0,0,0,0,0,0
指环王1：魔戒再现,0,0,0,0,871.5,871.5,871.5,0,0,968.5,0,0,0,0,0,0,0,0,0,0,0
蜘蛛侠,0,0,0,0,0,821.7,0,0,0,940.3,0,0,0,0,0,0,0,0,0,0,0
星球大战前传1：幽灵的威胁,0,0,1027,1027,1027,1027,1027,1027,1027,926,1027,1027,1027,1027,1027,0,0,0,0,0,0
星球大战7：原力觉醒,0,0,0,0,0,0,0,0,0,919.8,0,0,0,0,0,0,0,0,2068.2,2068.2,2068.2
星球大战2：帝国反击战,538.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
星球大战,775.4,775.4,775.4,775.4,775.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
玩具总动员3?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,1067,0,0,0,0,0
玩具总动员3,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,0,0,0,0
泰坦尼克,2186.8,2186.8,2186.8,2186.8,2186.8,2186.8,2186.8,2186.8,2186.8,0,2186.8,2186.8,2186.8,2186.8,2186.8,2186.8,2186.8,2186.8,2186.8,2186.8,2186.8
速度与激情7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516,1516,1516
世界末日,0,553.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
狮子王,968.5,968.5,968.5,968.5,968.5,968.5,968.5,968.5,968.5,0,968.5,968.5,968.5,0,0,0,0,0,0,0,0
美女与野兽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262.7
加勒比海盗4：惊涛怪浪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045.7,0,0,0,0,0,0
加勒比海盗3：世界的尽头,0,0,0,0,0,0,0,0,0,0,963.4,963.4,963.4,0,0,0,0,0,0,0,0
加勒比海盗2：聚魂棺,0,0,0,0,0,0,0,0,0,0,1066.2,1066.2,1066.2,1066.2,1066.2,1066.2,0,0,0,0,0
黑衣人,589.4,589.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
海底总动员,0,0,0,0,0,0,940.3,940.3,940.3,0,940.3,940.3,0,0,0,0,0,0,0,0,0
哈利·波特与死亡圣器(下),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341.5,1341.5,1341.5,1341.5,1341.5,1341.5,1341.5
哈利·波特与魔法石,0,0,0,0,974.8,974.8,974.8,974.8,974.8,0,974.8,974.8,974.8,974.8,0,0,0,0,0,0,0
哈利·波特与密室?,0,0,0,0,0,879,879,879,0,0,0,0,0,0,0,0,0,0,0,0,0
哈利·波特与火焰杯,0,0,0,0,0,0,0,0,896.9,0,0,0,0,0,0,0,0,0,0,0,0
哈利·波特与凤凰社,0,0,0,0,0,0,0,0,0,0,939.9,0,0,0,0,0,0,0,0,0,0
怪物史瑞克2,0,0,0,0,0,0,0,919.8,919.8,0,0,0,0,0,0,0,0,0,0,0,0
钢铁侠3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214.8,1214.8,1214.8,1214.8,0
复仇者联盟2：奥创纪元,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405.4,1405.4,1405.4
复仇者联盟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518.8,1518.8,1518.8,1518.8,1518.8,1518.8
独立日,817.4,817.4,817.4,817.4,817.4,817.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六感,0,0,672.8,672.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
冰雪奇缘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276.5,1276.5,1276.5,1276.5,1276.5
变形金刚4：绝迹重生,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104.1,0,0,0
变形金刚3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123.8,1123.8,1123.8,1123.8,0,0,0
蝙蝠侠：黑暗骑士崛起,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084.9,1084.9,0,0,0,0
蝙蝠侠：黑暗骑士,0,0,0,0,0,0,0,0,0,0,0,1004.6,1004.6,1004.6,0,0,0,0,0,0,0
爱丽丝梦游仙境,0,0,0,0,0,0,0,0,0,0,0,0,0,1025.5,0,0,0,0,0,0,0
阿甘正传,677.9,677.9,677.9,677.9,677.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
阿凡达,0,0,0,0,0,0,0,0,0,0,0,0,2788,2788,2788,2788,2788,2788,2788,2788,2788
E.T. 外星人,792.9,792.9,792.9,792.9,792.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007：大破天幕杀机,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108.6,1108.6,1108.6,0,0,0